FishStock,Year,Management,Additional
had.27.46a20,2015,"<ul><li> The current management plan for VIa haddock is now obsolete given the merging of haddock in VIa with IV and IIIa. A new management plan needs to be developed and this will require cooperation with Norway.</li> <li> EU has adopted a long-term plan for cod stocks and the fisheries exploiting those stocks Council Regulation (EC) 1342/2008. This continues to have a large impact on fleets catching haddock in VIa.</li> <li> The 2015 TAC allocated to this stock in VIa and VIb was 4,536 t, with an Irish quota of 743 t.</li> <li> A ''conservation credits'' scheme (see ICES summary) has been in place in Scotland since January 2007.</li></ul>",<ul><li>There is no additional information for this stock</li></ul>
had.27.46a20,2016,<ul><li> The current management plan for 6.a haddock is now obsolete given the merging of haddock in 6.a with 4 and 3.a. A new management plan needs to be developed and this will require cooperation with Norway.</li> <li> EU has adopted a long-term plan for cod stocks and the fisheries exploiting those stocks Council Regulation (EC) 1342/2008. This continues to have a large impact on fleets catching haddock in 6.a.</li> <li> A conservation credits scheme (see ICES summary) has been in place in Scotland since January 2007.</li></ul>,"<ul><li> Half of the Irish landings of haddock in areas 3, 4 and 6a come from trips where haddock was the dominant species. The remainder are taken in more mixed fishery and are mainly landed with megrim, anglerfish and other gadoid species.</li> <li> This advice was postponed in June due to difficulties with the haddock assessment that have since been addressed in an Inter-Benchmark process. During this year's process, an error in the advice for fishing opportunities of haddock in North Sea, West of Scotland, Skagerrak stock provided in 2015 (for the fisheries in 2016) was detected. The corrected version of this advice is also now available.</li></ul>"
had.27.46a20,2017,<ul><li> The 2017 TAC has been very limiting for haddock in all areas.</li> <li> Gadoid fisheries in 6 and 5.b are subject to the landing obligation for haddock in 2018 (see Appendix VI).</li> <li> EU has adopted a long-term plan for cod stocks and the fisheries exploiting those stocks Council Regulation (EC) 1342/2008. The plan was amended in 2016 by Council Regulation (EC) 2016/2094.</li></ul>,"<ul><li> Half of the Irish landings of haddock in areas 3, 4 and 6.a come from trips where haddock was the dominant species. The remainder are taken in more mixed fishery and are mainly landed with megrim, anglerfish and other gadoid species.</li></ul>"
had.27.46a20,2018,<ul><li> Gadoid fisheries in areas 6 and 5.b were subject to the landing obligation for haddock in 2018.</li> <li> EU adopted a long-term plan for cod stocks and the fisheries exploiting those stocks Council Regulation (EC) 1342/2008 expired in January 2018. </li></ul>,"<ul><li> Most of the Irish landings of haddock in area 6.a come from trips that target haddock. The remainder are taken in a more mixed fishery and are mainly landed with megrim, anglerfish and other gadoid species. A targeted seiner fishery west of Donegal bay normally accounts for 10-20% of the landings.</li> <li> The TAC for this stock is linked to the North Sea and is negotiated as part of the EU Norway agreement.</li></ul>"
had.27.46a20,2019,"<ul><li> Coming into force in July 2018, the EU multiannual plan for demersal stocks in the North Sea applies to this stock in 2019, however with failure to reach agreement with Norway, MSY advice was provided in 2019 for 2020.</li></ul>","<ul><li> Most of the Irish landings of haddock in Division 6.a come from trips that target haddock. The remainder are taken from a more mixed fishery and are mainly landed with megrim, anglerfish and other gadoid species. A targeted seine fishery west of Donegal Bay normally accounts for 10-20% of the landings.</li> <li> The TAC for this stock is linked to the North Sea and is negotiated as part of the EU Norway agreement. There is a fixed ratio that splits the TAC. </li> <li> Advice for 2020 is up 23% on last year, owing to a strong incoming recruitment observed in 2019 surveys. Irregular strong recruitments have been a feature of the stock dynamics in the past, resulting in a saw tooth SSB time profile. </li></ul>"
had.27.6b,2015,"<ul><li> Since 2004 an autonomous TAC has been set for EU fleets operating in Divisions VIb, and Sub -areas XII and XIV.</li> <li> The 2015 TAC was 2,580 t. The associated Irish quota was 203 t.</li> <li> Part of Division VIb falls (since 1999) within international waters fished by non EU vessels (mainly Russian) which are not subject to a TAC. This allows for an unregulated fishery in the Rockall area.</li> <li> Following the NEAFC agreement in March 2001, NEAFC has maintained an area closure to all fishing (except long-lining) in the SW corner of the Rockall Bank. Data are inadequate to fully evaluate the impact of this measure on the stock status.</li></ul>",<ul><li>There is no additional information for this stock</li></ul>
had.27.6b,2016,"<ul><li> Since 2004 an autonomous TAC has been set for EU fleets operating in Divisions 6.b, and Subareas 12 and 14.</li> <li> Part of Division 6.b falls (since 1999) within international waters fished by non EU vessels (mainly Russian) which are not subject to a TAC. This allows for an unregulated fishery in the Rockall area.</li> <li> Following the NEAFC agreement in March 2001, NEAFC has maintained an area closure to all fishing (except long-lining) in the SW corner of the Rockall Bank. Data are inadequate to fully evaluate the impact of this measure on the stock status.</li></ul>",<ul><li> Two-thirds of the Irish landings of Rockall haddock come from trips where haddock was the dominant species. The remainder are taken in a more mixed fishery and are mainly landed with megrim and anglerfish.</li></ul>
had.27.6b,2017,"<ul><li> Since 2004 an autonomous TAC has been set for EU fleets operating in Divisions 6.b, and Sub-areas 12 and 14.</li> <li> Part of Division 6.b falls (since 1999) within international waters fished by non EU vessels (mainly Russian) which are not subject to a TAC. This allows for an unregulated fishery in the Rockall area.</li> <li> Following the NEAFC agreement in March 2001, NEAFC has maintained an area closure to all fishing (except long-lining) in the SW corner of the Rockall Bank. Data are inadequate to fully evaluate the impact of this measure on the stock status.</li> <li> Gadoid fisheries in 6 and 5.b are subject to the landing obligation for haddock in 2018 (see Appendix VI).</li></ul>",<ul><li> Two-thirds of the Irish landings of Rockall haddock come from trips where haddock was the dominant species. The remainder are taken in a more mixed fishery and are mainly landed with megrim and anglerfish.</li></ul>
had.27.6b,2018,"<ul><li> There is no internationally agreed TAC for haddock in 6.b. Since 2004 an autonomous TAC has been set for EU fleets operating in Divisions 6.b, and Sub-areas 12 and 14. </li> <li> Part of Division 6.b falls (since 1999) within international waters fished by non EU vessels (mainly Russian). </li> <li> Following the NEAFC agreement in March 2001, NEAFC has maintained an area closure to all fishing (except long-lining) in the SW corner of the Rockall Bank. Data are inadequate to fully evaluate the impact of this measure on the stock status.</li></ul>","<ul><li> Most of the Irish landings of Rockall haddock come from trips where haddock was the dominant species. They are mainly landed with megrim, saithe and anglerfish. </li> <li> In recent years seiners have reported landings of haddock in area 6b. </li> <li> The estimates of stock size in recent years have fluctuated widely, and this has impacted on the catch advice. This year's assessment shows the Rockall haddock SSB to be substantially higher than previously estimated, resulting in an increased advice for 2019 which is about double the 2018 catch advice. </li></ul>"
had.27.6b,2019,"<ul><li> There is no internationally agreed TAC for haddock in Division 6.b. Since 2004 an autonomous TAC has been set for EU fleets operating in Division 6.b and Sub-areas 12 and 14. </li> <li> Part of Division 6.b falls (since 1999) within international waters fished by non EU vessels (mainly Russian). </li> <li> Following the NEAFC agreement in March 2001, NEAFC has maintained an area closure to all fishing except long-lining in the SW corner of the Rockall Bank, this continued in 2019. Data are inadequate to fully evaluate the impact of this measure on the stock status.</li></ul>","<ul><li> Most of the Irish landings of Rockall haddock come from trips where haddock was the dominant species. They are mainly landed with megrim, saithe and anglerfish. </li> <li> Since 2014 seiners have reported landings of haddock in Division 6.b. </li> <li> Estimates of stock size have fluctuated since the late 1990s. From an all-time low in 2014, stock size markedly increased owing to a strong 2017 year class and low fishing pressure. In this year's assessment the SSB is not predicted to further increase giving similar catch advice for 2020 as in 2019.</li> <li> The stock was benchmarked in 2019 and F<sub>MSY</sub>was decreased from 0.2 to 0.168. </li></ul>"
had.27.7a,2015,"<ul><li> The TAC Area previously covered Sub-areas VII, VIII, IX and X but since 2009 a separate TAC is allocated for Division VIIa.</li> <li> The 2015 TAC for haddock in Division VIIa was 1,181 t with an Irish quota of 511 t.</li> <li> Effort reductions as part of the Cod Long Term Management Plan (EC Reg.1342/2008) will also reduce catch and discarding of haddock in this area.</li> <li> FEAS recommends that management objectives be established and that a management plan be developed and implemented for fisheries catching haddock.</li></ul>",<ul><li>There is no additional information for this stock</li></ul>
had.27.7a,2016,"<ul><li> The stock area does not include Irish landings taken or reported in 33E2 and 33E3, these accounted for 64% of the 7.a Irish landings in 2016. The TAC management area covers all of ICES Division 7.a.</li> <li> In 2016 the landings obligation applies for this stock for the first time. According to the delegate regulation (EC, 2015) vessels where more than 25% of their 7.a landings using trawls and seines in the reference years (2013 & 2014) were specified gadoids (Cod, Haddock, Whiting & Saithe) will be covered by the Landings Obligation. This implies that all catches of haddock in the Irish Sea by those vessels must be landed. However a 7% de minimus also applies, meaning that these vessels can discard up to 7% of the haddock they catch. It is difficult to assess how this might impact of the fishery, the stock, the scientific data and the advice given for 2017 at this stage.</li> <li> Effort reductions as part of the Cod Long Term Management Plan (EC Reg.1342/2008) will also reduce catch and discarding of haddock in this area.</li></ul>",<ul><li> Irish landings of Irish Sea haddock are mostly taken in a targeted fishery; nearly 90% of the landings come from trips where haddock was the dominant species landed. The majority of these trips are in the south of 7.a in ICES rectangles 33E2 and 33E3.</li> <li> The haddock stock has increased significantly in 7.a but the ICES advice has not increased as rapidly as the stock due to the fact that this is currently a data limited assessment. Work is underway to improve the assessment and advice basis but in the interim there is an increasing mis-match between stock abundance and the catch advice leading to potential problems with foregone yield and quota related discarding.</li></ul>
had.27.7a,2017,"<ul><li> The stock area does not include Irish landings taken or reported in 33E2 and 33E3, these accounted for 73% of the 7.a Irish landings in 2016. The TAC management area covers all of ICES Division 7.a.</li> <li> Gadoid fisheries in 7.a are subject to the landing obligation for haddock in 2018 (see Appendix VI).</li> <li> Measures established for the recovery of cod in 7.a include multiannual reductions in of fishing effort, technical measures, control and enforcement, accompanying structural measures and market measures have all impacted on haddock fisheries in 7.a.</li></ul>",<ul><li> This stock was benchmarked in 2017. The result of the benchmark was that the stock was changed from a category 3 stock (trend-based assessment) to a category 1 stock (analytical assessment).</li> <li> The new assessment shows the stock to be at the highest levels observed in the time series and the recent fishing mortality to be very low.</li> <li> Irish landings of Irish Sea haddock are mostly taken in a targeted fishery; nearly 90% of the landings come from trips where haddock was the dominant species landed. The majority of these trips are in the south of 7.a in ICES rectangles 33E2 and 33E3 which are not included in this stock assessment.</li></ul>
had.27.7a,2018,"<ul><li> The stock area does not include Irish landings taken or reported in 33E2 and 33E3, these accounted for 63% of the 7.a Irish landings in 2017. The TAC management area covers all of ICES Division 7.a.</li> <li> Measures established for the recovery of cod in 7.a were revoked in January 2018. </li></ul>",<ul><li> The new assessment shows the stock to be at the highest levels observed in the time series and the recent fishing mortality to be very low.</li> <li> Irish landings under the Irish Sea haddock quota are mostly taken in a targeted fishery; nearly 90% of the landings come from trips where haddock was the dominant species landed. The majority of these trips are in the south of 7.a in ICES rectangles 33E2 and 33E3 which are not included in this stock assessment.</li> <li> Preliminary landings figures for 2018 indicate that uptake for Irish vessels will be below the quota.</li></ul>
had.27.7a,2019,"<ul><li> The stock area of Division 7.a does not include Irish landings taken or reported in ICES rectangles 33E2 and 33E3, which are reallocated from Division 7.a to Division 7.g. </li> <li> This reallocation (from 2 rectangles from the Irish Sea to the Celtic Sea) has increased since first introduced in 2006, peaking in 2017.</li> <li> The 2018 reallocation of 532 t accounted for 21% of Irish Sea (Division 7.a) landings and 7.5% of Celtic Sea (Divisions 7.b-k) landings. The TAC management area covers all of ICES Division 7.a. </li> <li> Limited cod quota is likely to limit haddock catch in the Irish Sea. </li></ul>","<ul><li> The assessment shows stock size to be at a high level since the mid-2010s and fishing mortality to be low over the same period. </li> <li> Irish landings under the Irish Sea haddock quota are mostly taken in a targeted fishery; nearly 70% of the landings come from trips where haddock was the dominant species landed. The majority of these trips are in the south of Division 7.a in ICES rectangles 33E2 and 33E3 which are not included in this stock assessment.</li> <li> The advice for 2020 is lower than the 2019 advice; however, preliminary landings figures for 2019 indicate that uptake by Irish vessels will be below the quota.</li></ul>"
had.27.7b-k,2015,"<ul><li> The TAC area covers Divisions VIIb-k, and Sub-areas VIII, IX and X and EU waters of CECAF 34.1.1. The assessment area covers Divisions VIIb,c,e-k</li> <li> The TAC for 2015 was 8,342 t with an Irish quota of 1,854 t (22%).</li> <li> This stock is taken in a mixed fishery, mainly by otter trawlers from France and Ireland.</li> <li> There is a management plan in development by the NWWRAC for mixed demersal fisheries catching haddock in VIIfg. FEAS supports the development of this plan.</li> <li> Technical Measures initially proposed and developed through the NWWRAC have been introduced since mid-2012 in the Celtic Sea in with the aim of improving selection and reducing discards of haddock and other gadoids. A further voluntary scheme was put into place in 2014.</li></ul>",<ul><li>There is no additional information for this stock</li></ul>
had.27.7b-k,2016,"<ul><li> Stock area is 7.b,c,e-k and TAC area is 7.b-k, 8, 9 and 10.</li> <li> Effort reductions as part of the Cod Long Term Management Plan (EC Reg.1342/2008) will also reduce catch and discarding of haddock in this area.</li> <li> FEAS recommends that management objectives be established and that a management plan be developed and implemented for fisheries catching haddock.</li></ul>","<ul><li> Haddock are caught in mixed fisheries with cod and whiting; management should take this into account.</li> <li> Poor recruitment after 2009 led to a decrease in the volume of discards, but as the moderately strong 2013 cohort entered the fishery, the discard volume increased again in 2015.</li> <li> Landings in the south of Division 7.a (33E2 and 33E3) are included in the assessment because they are considered to be part of this stock.</li> <li> The TAC has been very restrictive in recent years, which has resulted in increased levels of discarding of fish over the minimum conservation reference size (MCRS).</li></ul>"
had.27.7b-k,2017,"<ul><li> The stock area consists of 7.b,c,e-k and two rectangles in the south of Division 7.a (33E2 and 33E3). This differs to the TAC area, 7.b-k, 8, 9 and 10.</li> <li> The TAC has been very restrictive in recent years, which has resulted in increased levels of discarding of fish over the minimum conservation reference size (MCRS).</li></ul>","<ul><li> Haddock are caught in mixed fisheries with cod and whiting. Mixed fisheries analysis indicates that haddock are the most restrictive species in the Celtic Sea (See Section on Mixed Fisheries).</li> <li> Landings in the south of Division 7.a (33E2 and 33E3) are included in the assessment because they are considered to be part of this stock. Whilst they are a relatively minor component of the catches in this stock they constitute a large component of the 7.a stock.</li> <li> In 2016, the majority of the discards, by weight, were above the MCRS in the main fleets; 92% in the French 7bk OTB fleet, 72% in the UK 7ek OTB fleet and 35% in the Irish OTB 7g fleet.</li></ul>"
had.27.7b-k,2018,"<ul><li> The stock area consists of 7.b,c,e-k and two rectangles in the south of Division 7.a (33E2 and 33E3). This differs to the TAC area, 7.b-k, 8, 9 and 10.</li> <li> The TAC has been very restrictive in recent years, which has resulted in increased levels of discarding of fish over the minimum conservation reference size (MCRS).</li></ul>","<ul><li> Celtic Sea haddock are caught in mixed fisheries with whiting, megrim, anglerfish, <em>Nephrops</em> and other species. They are rarely specifically targeted but they are widely distributed which makes it difficult to control the fishing mortality on this stock.</li> <li> The large reduction in fishing mortality advised for Celtic sea cod in 2019 will result in cod becoming a choke species for all demersal fleets. </li> <li> Landings in the south of Division 7.a (33E2 and 33E3) are included in the assessment because they are considered to be part of this stock. Whilst they are a relatively minor component of the catches in this stock they constitute a large component of the 7.a stock. </li> <li> Discards by weight continued to be high (about 8,000 t) in 2017, comprising 50% of the international catch.</li> <li> The proposed 7% de minimis exemption will apply to bottom trawls, seines and beam trawls, using &#8805 80mm mesh, fishing in ICES divisions 7.b-c and 7.e-k and limited to 1 year, with an obligation to submit relevant data to assess the justification to STECF by 31st May 2019.</li> <li> This stock will be benchmarked by ICES in 2020 to align the Celtic Sea haddock, cod and whiting assessments. </li></ul>"
had.27.7b-k,2019,"<ul><li> The stock area consists of 7.b,c,e-k and two rectangles in the south of Division 7.a (ICES rectangles 33E2 and 33E3) which are reallocated to 7.g. This differs to the TAC area, 7.b-k, 8, 9 and 10.</li> <li> This reallocation (from 2 rectangles from the Irish Sea to the Celtic Sea) has increased since first introduced in 2006, peaking in 2017. The 2018 reallocation of 532 t accounted for 7.5% of Division 7.b-k landings and 21% of Irish Sea landings (Division 7.a).</li> <li> The TAC has been very restrictive since 2010, which has resulted in increased levels of discarding of fish over the minimum conservation reference size (MCRS). International discarding has averaged at 45% over the last 5 years (2014 to 2018).</li></ul>","<ul><li> The advice for Celtic sea haddock for 2020 is for a 164% increase in catches. This is because of the large 2018 year class which will be recruited to the fishery in 2020.</li> <li> Celtic Sea haddock are caught in mixed fisheries with whiting, megrim, anglerfish, <em>Nephrops</em> and other species. They are rarely specifically targeted but they are widely distributed which makes it difficult to control the fishing mortality on this stock.</li> <li> The large reduction in fishing mortality advised for Celtic sea cod for 2019 and 2020 will result in cod continuing to be a choke species for all demersal fleets. </li> <li> Landings in the south of Division 7.a (33E2 and 33E3) are included in the assessment because they are considered to be part of this stock. Whilst they are a relatively minor component of the catches in this stock they constitute a large component of the 7.a stock. </li> <li> Discarding of the stock is high (43% by weight over the last ten years) and continued so in 2018 (43%).</li> <li> This stock will be benchmarked by ICES in 2020. </li></ul>"
her.27.1-24a514a,2015,"<ul><li> A long term management plan has been agreed for this fishery since 1999 between the EU, Faroe Islands, Iceland, Norway and Russia. The plan aims at preventing SSB from falling below B<sub>lim</sub> of 2.5 million tonnes, and restricting the TACs consistent with a fishing mortality of less than 0.125. Provisions are also made to reduce this F, should the SSB fall below B<sub>pa</sub> of 5 million tonnes.</li> <li> ICES considers that this agreement is consistent with the precautionary approach.</li> <li> In 2015, the sum of unilaterally allocated TACs was 328,000 t.</li> <li> In 2015 the EU TAC is 18,424 t. The quota for Ireland, including carryover was 1,634 t.</li> <li> The Irish quota is allocated to a small number of vessels on a lottery basis.</li> <li> In recent years, the EU has been granted access to the Norwegian sector where the most fishable aggregations occur. However this access is negotiated on a yearly basis. The Irish quota is not useable without EU access to the Norwegian EEZ.</li> <li> The management plan for Norwegian Spring Spawning Herring has a target fishing mortality rate that is lower than F<sub>MSY</sub>.</li></ul>",<ul><li>There is no additional information for this stock</li></ul>
her.27.1-24a514a,2016,"<ul><li> A long term management plan has been agreed for this fishery since 1999 between the EU, Faroe Islands, Iceland, Norway and Russia. The plan aims at preventing SSB from falling below B<sub>LIM</sub> of 2.5 million tonnes, and restricting the TACs consistent with a fishing mortality of less than 0.125. Provisions are also made to reduce this F, should the SSB fall below B<sub>pa</sub> of 5 million tonnes.</li> <li> ICES considers that this agreement is consistent with the precautionary approach.</li> <li> Since 2013, there has been no agreement by the Coastal States on TAC sharing and the management plan has not been followed. This has led to unilaterally set quotas which together are higher than the TAC indicated by the management plan.</li> <li> In 2016, the sum of the unilaterally allocated quotas is 377,000 t.</li> <li> The Irish quota is allocated to a small number of vessels on a lottery basis.</li> <li> In recent years, the EU has been granted access to the Norwegian sector where the most fishable aggregations occur. However this access is negotiated on a yearly basis. The Irish quota is not useable without EU access to the Norwegian EEZ. Access was granted in 2016 but not in 2015.</li> <li> The management plan for Norwegian Spring Spawning Herring has a target fishing mortality rate that is lower than F<sub>MSY</sub>.</li></ul>",<ul><li>There is no additional information for this stock</li></ul>
her.27.1-24a514a,2017,"<ul><li> A long term management plan has been agreed for this fishery since 1999 between the EU, Faroe Islands, Iceland, Norway and Russia. The plan aims at preventing SSB from falling below B<sub>lim</sub> of 2.5 million tonnes, and restricting the TAC to values consistent with a fishing mortality of less than 0.125. Provisions are also made to reduce this F, should the SSB fall below B<sub>pa</sub> of 5 million tonnes.</li> <li> ICES considers that this management plan is consistent with the precautionary approach.</li> <li> Since 2013, there has been no agreement by the Coastal States on TAC sharing and the management plan has not been followed. This has led to unilaterally set quotas which together are higher than the TAC indicated by the management plan.</li> <li> In 2017, the sum of the declared national quotas is 805,142 t.</li> <li> The stock is declining and estimated to be below MSY B<sub>trigger</sub> in 2017.</li> <li> The Irish quota is allocated to a small number of vessels on a lottery basis.</li> <li> In recent years, the EU has been granted access to the Norwegian sector where the most fishable aggregations occur. However this access is negotiated on a yearly basis. The Irish quota is not useable without EU access to the Norwegian EEZ.</li> <li> The management plan for Norwegian Spring Spawning Herring has a target fishing mortality rate that is lower than F<sub>MSY</sub>.</li> <li> When reporting catches, the Commission require quantities fished in the NEAFC Regulatory Area and Union waters to be reported.</li> <li> Of the Irish quote up to 532 t may be caught in Norwegian waters north of 62&deg N and the fishery zone around Jan Mayen.</li></ul>","<ul><li> In October 2017, an error was detected in the conversion of acoustic data from the Norwegian acoustic survey on the Norwegian spawning grounds survey index for the period 1988-2008. The error affected both the advice for 2017 (issued in September 2016) and 2018 (issued in September 2017).</li> <li> Applying the long-term management plan results in a 32% downwards revision relative to the previously released catch advice for 2017 and a 30% downwards revision relative to previously released advice for 2018.</li></ul>"
her.27.1-24a514a,2018,"<ul><li> A long term management strategy (LTMS) was agreed by the EU, the Faroe Islands, Iceland, Norway, and Russia in 2018.</li> <li> ICES considers that the HCR proposed for the LTMS is consistent with the precautionary approach. </li> <li> Since 2013, there has been no agreement by the Coastal States on TAC sharing and the management plan has not been followed. This has led to unilaterally set quotas which together are higher than the TAC indicated by the management plan.</li> <li> In 2018, the sum of the declared national quotas is 546,448 t.</li> <li> The Irish quota is allocated to a small number of vessels on a lottery basis.</li> <li> EU access to the Norwegian sector where the most fishable aggregations occur is negotiated on a yearly basis. The Irish quota is not useable without EU access to the Norwegian EEZ. </li> <li> The LTMS for Norwegian Spring Spawning Herring has a target fishing mortality rate that is lower than F<sub>MSY</sub>.</li> <li> Quantities fished by EU vessels in the NEAFC Regulatory Area and Union waters must be reported to the Commission. </li> <li> Up to 355 t of the Irish quota may be caught in Norwegian waters north of 62 &deg N and the fishery zone around Jan Mayen.</li></ul>","<ul><li> The stock is declining but is estimated to be above MSY B<sub>trigger</sub> in 2018.</li> <li> Fishing mortality has been increasing since 2015 and was above F<sub>MSY</sub> in 2017.</li> <li> The combination of the new (higher) fishing mortality being used as the basis for advice (from the LTMS), and a lower trigger biomass (Bmgt) has resulted in catch advice for 2019 that is 53% higher than for 2018. </li></ul>"
her.27.1-24a514a,2019,"<ul><li> A long term management strategy (LTMS) was agreed by the EU, the Faroe Islands, Iceland, Norway, and Russia in 2018 </li> <li> ICES considers that the HCR proposed for the LTMS is consistent with the precautionary approach.</li> <li> Since 2013, there has been no agreement by the Coastal States on TAC sharing and the management plan has not been followed. This has led to unilaterally set quotas which together are higher than the TAC indicated by the management plan.</li> <li> In 2019, the sum of the declared national quotas is 773,750 t.</li> <li> The Irish quota is allocated to a small number of vessels on a lottery basis.</li> <li> EU access to the Norwegian sector where the most fishable aggregations occur is negotiated on a yearly basis. The Irish quota is not useable without EU access to the Norwegian EEZ. </li> <li> Quantities fished by EU vessels in the NEAFC Regulatory Area and Union waters must be reported to the Commission.</li> <li> Up to 399 t of the Irish quota may be caught in Norwegian waters north of 62&deg N and the fishery zone around Jan Mayen.</li></ul>",<ul><li> The stock is declining but is estimated to be above MSY B<sub>trigger</sub> in 2019.</li> <li> Fishing mortality has increased since 2015 but is estimated to be below F<sub>MSY</sub> in 2018.</li> <li> Catch advice for 2020 is 11% lower than that for 2019. This is due to a decline in the stock.</li> <li> Recruitment is estimated to be average or low since 2007.</li></ul>
her.27.6a7bc,2015,"<ul><li> The EU TAC for VIaN in 2015 is 22,690 t. The Irish share of the EU quota was 3,427 t. The EU TAC for VIaS and VIIbc is 0 t in 2015.</li> <li> The EU adopted a management plan for VIaN in December 2008. In VIaS/VIIbc the EC Council followed a proposed long term plan for TAC setting for 2014 and 2015.</li> <li> Irish and Dutch vessels are not allowed to fish herring inside the UK (Scottish) 6-12 mile limits, including the outlying Hebridean Islands. German and French vessels have access to herring fishing between 6 and 12 miles in Scottish waters, in most areas, though not the mainland limits east of the Butt of Lewis.</li> <li> There is an annual seasonal closure of the Butt of Lewis spawning area from the 15th August to the 15th September each year.</li> <li> It is noted that the proposed rebuilding plan for northwest Ireland herring contains an exclusion zone between 56oN and 57o30 N for Irish vessels only. <li> The Irish herring fishery in VIa opens on the 1st October each season. This is an appropriate opening date for the VIaS/VIIbc stock, but not for the VIaN stock, where the main fishing season begins in August. The 1st October opening date incentivises Irish vessels to target fish along the 56oN boundary with VIaS, with a high risk of catching of VIaS/VIIbc herring against the VIaN quota (see also West of Scotland Herring). <li> The 56oN boundary between this stock unit and herring in VIaN is not biologically meaningful. It was created in 1981, and corresponds roughly to the boundary of the Irish and UK fishery patrol zones, or ''EEZs''. The boundary cuts through both the summer feeding grounds and the winter spawning grounds, and thus the fishing grounds too.</ul>",<ul><li>There is no additional information for this stock</li></ul>
her.27.6a7bc,2016,"<ul><li> ICES now gives one advice for the combined area 6.aN, 6.aS, and 7.b-c. ICES still considers two separate stocks exist, but it is not currently possible to segregate them in commercial catches or surveys.</li> <li> A scientific monitoring fishery was proposed to allow the collection of fishery dependent data for the two stocks. For 2016 a TAC of 5,800 t was agreed for 5.b, 6.b, 6.aN, 6.aS and 7.b-c. This is slightly in excess of the advice obtained from ICES.</li> <li> The Irish herring fishery in 6.a opens on the 1st October each season. This is an appropriate opening date for the 6.aS/7.b-c stock, but not for the 6.aN stock, where the main fishing season begins in August. The 1st October opening date incentivises Irish vessels to target fish along the 56oN boundary with 6.aS, with a high risk of catching 6.aS/7.b-c herring against the 6.aN quota.</li> <li> Irish and Dutch vessels are not allowed to fish herring inside the UK (Scottish) 6-12 mile limits, including the outlying Hebridean Islands. German and French vessels have access to herring fishing between 6 and 12 miles in Scottish waters, in most areas, though not the mainland limits east of the Butt of Lewis.</li> <li> There is an annual seasonal closure of the Butt of Lewis spawning area from the 15th August to the 15th September each year.</li> <li> The 56oN boundary between 6.aS/7.b-c and 6.aN is not biologically meaningful. It was created in 1981, and corresponds roughly to the boundary of the Irish and UK fishery patrol zones, or ''EEZs''. The boundary cuts through both the summer feeding grounds and the winter spawning grounds, and thus the fishing grounds also.</li></ul>",<ul><li>There is no additional information for this stock</li></ul>
her.27.6a7bc,2017,"<ul><li> Since 2016 ICES gives one advice for the combined area 6.aN, 6.aS, and 7.b-c. ICES still considers two separate stocks exist, but it is not currently possible to segregate them in commercial catches or surveys.</li> <li> A scientific monitoring fishery was proposed to allow the collection of fishery dependent data for the two stocks and continue the time series.</li> <li> For 2017 a TAC of 5,800t was agreed for 5.b, 6.b, 6.aN, 6.aS and 7.b-c. This is slightly in excess of the advice obtained from ICES.</li> <li> The Irish herring fishery in 6.a opens on the 1st October each season. This is an appropriate opening date for the 6.aS/7.b-c stock, but not for the 6.aN stock, where the main fishing season begins in August. The 1st October opening date incentivises Irish vessels to target fish along the 56oN boundary with 6.aS, with a high risk of catching 6.aS/7.b-c herring against the 6.aN quota.</li> <li> Irish and Dutch vessels are not allowed to fish herring inside the UK (Scottish) 6-12 nautical mile limits, including the outlying Hebridean Islands (Appendix II). German and French vessels have access to herring fishing between 6 and 12 nautical miles in Scottish waters in most areas, though not the mainland limits east of the Butt of Lewis.</li> <li> There is an annual seasonal closure of the Butt of Lewis spawning area from the 15th August to the 15th September each year.</li> <li> The 56oN boundary between 6.aS/7.b-c and 6.aN is not biologically meaningful. Created in 1981, it corresponds roughly to the boundary of the Irish and UK fishery patrol zones, or EEZs. The boundary cuts through both the summer feeding grounds and the winter spawning grounds, and thus the fishing grounds also.</li> <li> All targeted herring fishing is prohibited in the part of the ICES zones subject to this TAC between 56&deg N and 57&deg 30minutes N, with the exception of a six nautical mile belt measured from the baseline of the United Kingdoms territorial sea.</li> <li> Currently the landing obligation only applies to pelagic gears (pelagic trawls, pair trawls).</li></ul>",<ul><li>There is no additional information for this stock</li></ul>
