FishStock,Year,Management,Additional
dgs.27.nea,2017,"<li> The 2016 TAC was set at zero. In July 2016 a TAC of 270 t, with a corresponding Irish quota of 53 t was put
in place for vessels taking part in a spurdog bycatch avoidance programme. This TAC also applied in 2017.</li>","<li> The UK ran a pilot spurdog avoidance project from 2013-2016, with some quota allocated to unavoidable
bycatch. This has been expanded to allow other countries to take part. There are specifications within the
new TAC as to how this programme is to be managed by each country. It has not yet been implemented in
Ireland.</li>
<li> A maximum landings size of 100cm was in place in 2009 and 2010 before the TAC was set at zero in 2011.</li>
<li> Spurdog have low productivity and are vulnerable to fishing because they form dense aggregations that can be
easily fished. The stock currently appears stable at a low level, but the recent period of stability is short
compared to the longevity of the species. Given this longevity, stock recovery will be very slow (decades).</li>"
had.27.46a20,2015,"<li> The current management plan for VIa haddock is now obsolete
given the merging of haddock in VIa with IV and IIIa. A new
management plan needs to be developed and this will require
cooperation with Norway.</li>
<li> EU has adopted a long-term plan for cod stocks and the fisheries
exploiting those stocks Council Regulation (EC) 1342/2008. This
continues to have a large impact on fleets catching haddock in VIa.</li>
<li> The 2015 TAC allocated to this stock in VIa and VIb was 4,536 t,
with an Irish quota of 743 t.</li>
<li> A ''conservation credits'' scheme (see ICES summary) has been in place in Scotland since January 2007.</li>",There is no additional information for this stock
had.27.46a20,2016,"<li> The current management plan for 6.a haddock is now obsolete given
the merging of haddock in 6.a with 4 and 3.a. A new management
plan needs to be developed and this will require cooperation with
Norway.</li>
<li> EU has adopted a long-term plan for cod stocks and the fisheries
exploiting those stocks Council Regulation (EC) 1342/2008. This
continues to have a large impact on fleets catching haddock in 6.a.</li>
<li> A conservation credits scheme (see ICES summary) has been in place
in Scotland since January 2007.</li>","<li> Half of the Irish landings of haddock in areas 3, 4 and 6a come from trips where haddock was the dominant
species. The remainder are taken in more mixed fishery and are mainly landed with megrim, anglerfish and
other gadoid species.</li>
<li> This advice was postponed in June due to difficulties with the haddock assessment that have since been
addressed in an Inter-Benchmark process. During this year's process, an error in the advice for fishing
opportunities of haddock in North Sea, West of Scotland, Skagerrak stock provided in 2015 (for the fisheries
in 2016) was detected. The corrected version of this advice is also now available.</li>"
had.27.46a20,2017,"<li> The 2017 TAC has been very limiting for haddock in all areas.</li>
<li> Gadoid fisheries in 6 and 5.b are subject to the landing obligation
for haddock in 2018 (see Appendix VI).</li>
<li> EU has adopted a long-term plan for cod stocks and the fisheries
exploiting those stocks Council Regulation (EC) 1342/2008. The
plan was amended in 2016 by Council Regulation (EC) 2016/2094.</li>","<li> Half of the Irish landings of haddock in areas 3, 4 and 6.a come from trips where haddock was the dominant
species. The remainder are taken in more mixed fishery and are mainly landed with megrim, anglerfish and
other gadoid species.</li>"
had.27.6b,2015,"<li> Since 2004 an autonomous TAC has been set for EU fleets operating
in Divisions VIb, and Sub -areas XII and XIV.</li>
<li> The 2015 TAC was 2,580 t. The associated Irish quota was 203 t.</li>
<li> Part of Division VIb falls (since 1999) within international waters
fished by non EU vessels (mainly Russian) which are not subject to a
TAC. This allows for an unregulated fishery in the Rockall area.</li>
<li> Following the NEAFC agreement in March 2001, NEAFC has
maintained an area closure to all fishing (except long-lining) in the SW
corner of the Rockall Bank. Data are inadequate to fully evaluate the
impact of this measure on the stock status.</li>",There is no additional information for this stock
had.27.6b,2016,"<li> Since 2004 an autonomous TAC has been set for EU fleets operating
in Divisions 6.b, and Subareas 12 and 14.</li>
<li> Part of Division 6.b falls (since 1999) within international waters
fished by non EU vessels (mainly Russian) which are not subject to
a TAC. This allows for an unregulated fishery in the Rockall area.</li>
<li> Following the NEAFC agreement in March 2001, NEAFC has
maintained an area closure to all fishing (except long-lining) in the
SW corner of the Rockall Bank. Data are inadequate to fully evaluate
the impact of this measure on the stock status.</li>","<li> Two-thirds of the Irish landings of Rockall haddock come from trips where haddock was the dominant species.
The remainder are taken in a more mixed fishery and are mainly landed with megrim and anglerfish.</li>"
had.27.6b,2017,"<li> Since 2004 an autonomous TAC has been set for EU fleets
operating in Divisions 6.b, and Sub-areas 12 and 14.</li>
<li> Part of Division 6.b falls (since 1999) within international waters
fished by non EU vessels (mainly Russian) which are not subject to a
TAC. This allows for an unregulated fishery in the Rockall area.</li>
<li> Following the NEAFC agreement in March 2001, NEAFC has
maintained an area closure to all fishing (except long-lining) in the
SW corner of the Rockall Bank. Data are inadequate to fully
evaluate the impact of this measure on the stock status.</li>
<li> Gadoid fisheries in 6 and 5.b are subject to the landing obligation for haddock in 2018 (see Appendix VI).</li>","<li> Two-thirds of the Irish landings of Rockall haddock come from trips where haddock was the dominant species.
The remainder are taken in a more mixed fishery and are mainly landed with megrim and anglerfish.</li>"
had.27.7a,2015,"<li> The TAC Area previously covered Sub-areas VII, VIII, IX and X but
since 2009 a separate TAC is allocated for Division VIIa.</li>
<li> The 2015 TAC for haddock in Division VIIa was 1,181 t with an
Irish quota of 511 t.</li>
<li> Effort reductions as part of the Cod Long Term Management
Plan (EC Reg.1342/2008) will also reduce catch and discarding of
haddock in this area.</li>
<li> FEAS recommends that management objectives be established and
that a management plan be developed and implemented for
fisheries catching haddock.</li>",There is no additional information for this stock
had.27.7a,2016,"<li> The stock area does not include Irish landings taken or reported in
33E2 and 33E3, these accounted for 64% of the 7.a Irish landings in
2016. The TAC management area covers all of ICES Division 7.a.</li>
<li> In 2016 the landings obligation applies for this stock for the first
time. According to the delegate regulation (EC, 2015) vessels where
more than 25% of their 7.a landings using trawls and seines in the
reference years (2013 & 2014) were specified gadoids (Cod,
Haddock, Whiting & Saithe) will be covered by the Landings
Obligation. This implies that all catches of haddock in the Irish Sea
by those vessels must be landed. However a 7% de minimus also
applies, meaning that these vessels can discard up to 7% of the
haddock they catch. It is difficult to assess how this might impact of
the fishery, the stock, the scientific data and the advice given for
2017 at this stage.</li>
<li> Effort reductions as part of the Cod Long Term Management Plan (EC Reg.1342/2008) will also reduce catch
and discarding of haddock in this area.</li>","<li> Irish landings of Irish Sea haddock are mostly taken in a targeted fishery; nearly 90% of the landings come from
trips where haddock was the dominant species landed. The majority of these trips are in the south of 7.a in
ICES rectangles 33E2 and 33E3.</li>
<li> The haddock stock has increased significantly in 7.a but the ICES advice has not increased as rapidly as the
stock due to the fact that this is currently a data limited assessment. Work is underway to improve the
assessment and advice basis but in the interim there is an increasing mis-match between stock abundance and
the catch advice leading to potential problems with foregone yield and quota related discarding.</li>"
had.27.7a,2017,"<li> The stock area does not include Irish landings taken or reported in
33E2 and 33E3, these accounted for 73% of the 7.a Irish landings in
2016. The TAC management area covers all of ICES Division 7.a.</li>
<li> Gadoid fisheries in 7.a are subject to the landing obligation for
haddock in 2018 (see Appendix VI).</li>
<li> Measures established for the recovery of cod in 7.a include multiannual
reductions in of fishing effort, technical measures, control
and enforcement, accompanying structural measures and market
measures have all impacted on haddock fisheries in 7.a.</li>","<li> This stock was benchmarked in 2017. The result of the benchmark was that the stock was changed from a
category 3 stock (trend-based assessment) to a category 1 stock (analytical assessment).</li>
<li> The new assessment shows the stock to be at the highest levels observed in the time series and the recent
fishing mortality to be very low.</li>
<li> Irish landings of Irish Sea haddock are mostly taken in a targeted fishery; nearly 90% of the landings come from
trips where haddock was the dominant species landed. The majority of these trips are in the south of 7.a in
ICES rectangles 33E2 and 33E3 which are not included in this stock assessment.</li>"
had.27.7b-k,2015,"<li> The TAC area covers Divisions VIIb-k, and Sub-areas VIII, IX
and X and EU waters of CECAF 34.1.1. The assessment area
covers Divisions VIIb,c,e-k</li>
<li> The TAC for 2015 was 8,342 t with an Irish quota of 1,854 t
(22%).</li>
<li> This stock is taken in a mixed fishery, mainly by otter trawlers
from France and Ireland.</li>
<li> There is a management plan in development by the NWWRAC for
mixed demersal fisheries catching haddock in VIIfg. FEAS supports the
development of this plan.</li>
<li> Technical Measures initially proposed and developed through the NWWRAC have been introduced since
mid-2012 in the Celtic Sea in with the aim of improving selection and reducing discards of haddock and
other gadoids. A further voluntary scheme was put into place in 2014.</li>",There is no additional information for this stock
had.27.7b-k,2016,"<li> Stock area is 7.b,c,e-k and TAC area is 7.b-k, 8, 9 and 10.</li>
<li> Effort reductions as part of the Cod Long Term Management Plan (EC
Reg.1342/2008) will also reduce catch and discarding of haddock in
this area.</li>
<li> FEAS recommends that management objectives be established and
that a management plan be developed and implemented for fisheries
catching haddock.</li>","<li> Haddock are caught in mixed fisheries with cod and whiting; management should take this into account.</li>
<li> Poor recruitment after 2009 led to a decrease in the volume of discards, but as the moderately strong 2013
cohort entered the fishery, the discard volume increased again in 2015.</li>
<li> Landings in the south of Division 7.a (33E2 and 33E3) are included in the assessment because they are
considered to be part of this stock.</li>
<li> The TAC has been very restrictive in recent years, which has resulted in increased levels of discarding of fish
over the minimum conservation reference size (MCRS).</li>"
had.27.7b-k,2017,"<li> The stock area consists of 7.b,c,e-k and two rectangles in the south
of Division 7.a (33E2 and 33E3). This differs to the TAC area, 7.b-k,
8, 9 and 10.</li>
<li> The TAC has been very restrictive in recent years, which has
resulted in increased levels of discarding of fish over the minimum
conservation reference size (MCRS).</li>","<li> Haddock are caught in mixed fisheries with cod and whiting. Mixed fisheries analysis indicates that haddock
are the most restrictive species in the Celtic Sea (See Section on Mixed Fisheries).</li>
<li> Landings in the south of Division 7.a (33E2 and 33E3) are included in the assessment because they are
considered to be part of this stock. Whilst they are a relatively minor component of the catches in this stock
they constitute a large component of the 7.a stock.</li>
<li> In 2016, the majority of the discards, by weight, were above the MCRS in the main fleets; 92% in the French
7bk OTB fleet, 72% in the UK 7ek OTB fleet and 35% in the Irish OTB 7g fleet.</li>"
her.27.1-24a514a,2015,"<li> A long term management plan has been agreed for this fishery
since 1999 between the EU, Faroe Islands, Iceland, Norway
and Russia. The plan aims at preventing SSB from falling below
B<sub>lim</sub> of 2.5 million tonnes, and restricting the TACs consistent
with a fishing mortality of less than 0.125. Provisions are also
made to reduce this F, should the SSB fall below B<sub>pa</sub> of
5 million tonnes.</li>
<li> ICES considers that this agreement is consistent with the
precautionary approach.</li>
<li> In 2015, the sum of unilaterally allocated TACs was 328,000 t.</li>
<li> In 2015 the EU TAC is 18,424 t. The quota for Ireland,
including carryover was 1,634 t.</li>
<li> The Irish quota is allocated to a small number of vessels on a lottery basis.</li>
<li> In recent years, the EU has been granted access to the Norwegian sector where the most fishable
aggregations occur. However this access is negotiated on a yearly basis. The Irish quota is not useable
without EU access to the Norwegian EEZ.</li>
<li> The management plan for Norwegian Spring Spawning Herring has a target fishing mortality rate that is
lower than F<sub>MSY</sub>.</li>",There is no additional information for this stock
her.27.1-24a514a,2016,"<li> A long term management plan has been agreed for this fishery since
1999 between the EU, Faroe Islands, Iceland, Norway and Russia.
The plan aims at preventing SSB from falling below B<sub>LIM</sub> of 2.5 million
tonnes, and restricting the TACs consistent with a fishing mortality
of less than 0.125. Provisions are also made to reduce this F, should
the SSB fall below B<sub>pa</sub> of 5 million tonnes.</li>
<li> ICES considers that this agreement is consistent with the
precautionary approach.</li>
<li> Since 2013, there has been no agreement by the Coastal States on
TAC sharing and the management plan has not been followed. This
has led to unilaterally set quotas which together are higher than the
TAC indicated by the management plan.</li>
<li> In 2016, the sum of the unilaterally allocated quotas is 377,000 t.</li>
<li> The Irish quota is allocated to a small number of vessels on a lottery basis.</li>
<li> In recent years, the EU has been granted access to the Norwegian sector where the most fishable aggregations
occur. However this access is negotiated on a yearly basis. The Irish quota is not useable without EU access to
the Norwegian EEZ. Access was granted in 2016 but not in 2015.</li>
<li> The management plan for Norwegian Spring Spawning Herring has a target fishing mortality rate that is lower
than F<sub>MSY</sub>.</li>",There is no additional information for this stock
her.27.1-24a514a,2017,"<li> A long term management plan has been agreed for this fishery since
1999 between the EU, Faroe Islands, Iceland, Norway and Russia. The
plan aims at preventing SSB from falling below B<sub>lim</sub> of 2.5 million tonnes,
and restricting the TAC to values consistent with a fishing mortality of
less than 0.125. Provisions are also made to reduce this F, should the
SSB fall below B<sub>pa</sub> of 5 million tonnes.</li>
<li> ICES considers that this management plan is consistent with the
precautionary approach.</li>
<li> Since 2013, there has been no agreement by the Coastal States on TAC
sharing and the management plan has not been followed. This has led to
unilaterally set quotas which together are higher than the TAC indicated by the management plan.</li>
<li> In 2017, the sum of the declared national quotas is 805,142 t.</li>
<li> The stock is declining and estimated to be below MSY B<sub>trigger</sub> in 2017.</li>
<li> The Irish quota is allocated to a small number of vessels on a lottery basis.</li>
<li> In recent years, the EU has been granted access to the Norwegian sector where the most fishable aggregations
occur. However this access is negotiated on a yearly basis. The Irish quota is not useable without EU access to the
Norwegian EEZ.</li>
<li> The management plan for Norwegian Spring Spawning Herring has a target fishing mortality rate that is lower than
F<sub>MSY</sub>.</li>
<li> When reporting catches, the Commission require quantities fished in the NEAFC Regulatory Area and Union waters
to be reported.</li>
<li> Of the Irish quote up to 532 t may be caught in Norwegian waters north of 62&deg N and the fishery zone around Jan
Mayen.</li>","<li> In October 2017, an error was detected in the conversion of acoustic data from the Norwegian acoustic survey on
the Norwegian spawning grounds survey index for the period 1988-2008. The error affected both the advice for
2017 (issued in September 2016) and 2018 (issued in September 2017).</li>
<li> Applying the long-term management plan results in a 32% downwards revision relative to the previously released
catch advice for 2017 and a 30% downwards revision relative to previously released advice for 2018.</li>"
her.27.6a7bc,2015,"<li> The EU TAC for VIaN in 2015 is 22,690 t. The Irish share of the
EU quota was 3,427 t. The EU TAC for VIaS and VIIbc is 0 t in
2015.</li>
<li> The EU adopted a management plan for VIaN in December 2008. In
VIaS/VIIbc the EC Council followed a proposed long term plan for
TAC setting for 2014 and 2015.</li>
<li> Irish and Dutch vessels are not allowed to fish herring inside the
UK (Scottish) 6-12 mile limits, including the outlying Hebridean
Islands. German and French vessels have access to herring fishing
between 6 and 12 miles in Scottish waters, in most areas, though
not the mainland limits east of the Butt of Lewis.</li>
<li> There is an annual seasonal closure of the Butt of Lewis spawning area from the 15th August to the 15th
September each year.</li>
<li> It is noted that the proposed rebuilding plan for northwest Ireland herring contains an exclusion zone
between 56oN and 57o30 N for Irish vessels only.
<li> The Irish herring fishery in VIa opens on the 1st October each season. This is an appropriate opening date for
the VIaS/VIIbc stock, but not for the VIaN stock, where the main fishing season begins in August. The 1st
October opening date incentivises Irish vessels to target fish along the 56oN boundary with VIaS, with a high
risk of catching of VIaS/VIIbc herring against the VIaN quota (see also West of Scotland Herring).
<li> The 56oN boundary between this stock unit and herring in VIaN is not biologically meaningful. It was created
in 1981, and corresponds roughly to the boundary of the Irish and UK fishery patrol zones, or ''EEZs''. The
boundary cuts through both the summer feeding grounds and the winter spawning grounds, and thus the
fishing grounds too.",There is no additional information for this stock
her.27.6a7bc,2016,"<li> ICES now gives one advice for the combined area 6.aN, 6.aS, and 7.b-c.
ICES still considers two separate stocks exist, but it is not currently
possible to segregate them in commercial catches or surveys.</li>
<li> A scientific monitoring fishery was proposed to allow the collection of
fishery dependent data for the two stocks. For 2016 a TAC of 5,800 t
was agreed for 5.b, 6.b, 6.aN, 6.aS and 7.b-c. This is slightly in excess of
the advice obtained from ICES.</li>
<li> The Irish herring fishery in 6.a opens on the 1st October each season.
This is an appropriate opening date for the 6.aS/7.b-c stock, but not for
the 6.aN stock, where the main fishing season begins in August. The 1st
October opening date incentivises Irish vessels to target fish along the
56oN boundary with 6.aS,
with a high risk of catching 6.aS/7.b-c herring against the 6.aN quota.</li>
<li> Irish and Dutch vessels are not allowed to fish herring inside the UK (Scottish)
6-12 mile limits, including the outlying Hebridean Islands. German and French
vessels have access to herring fishing between 6 and 12 miles in Scottish waters,
in most areas, though not the mainland limits east of the Butt of Lewis.</li>
<li> There is an annual seasonal closure of the Butt of Lewis spawning area
from the 15th August to the 15th September each year.</li>
<li> The 56oN boundary between 6.aS/7.b-c and 6.aN is not biologically
meaningful. It was created in 1981, and corresponds roughly to the
boundary of the Irish and UK fishery patrol zones, or ''EEZs''. The
boundary cuts through both the summer feeding grounds and the winter
spawning grounds, and thus the fishing grounds also.</li>",There is no additional information for this stock
her.27.6a7bc,2017,"<li> Since 2016 ICES gives one advice for the combined area 6.aN, 6.aS, and 7.b-c. ICES
still considers two separate stocks exist, but it is not currently possible to segregate
them in commercial catches or surveys.</li>
<li> A scientific monitoring fishery was proposed to allow the collection of fishery
dependent data for the two stocks and continue the time series.</li>
<li> For 2017 a TAC of 5,800t was agreed for 5.b, 6.b, 6.aN, 6.aS and 7.b-c. This is
slightly in excess of the advice obtained from ICES.</li>
<li> The Irish herring fishery in 6.a opens on the 1st October each season. This is an
appropriate opening date for the 6.aS/7.b-c stock, but not for the 6.aN stock,
where the main fishing season begins in August. The 1st October opening date
incentivises Irish vessels to target fish along the 56oN boundary with 6.aS, with a high
risk of catching 6.aS/7.b-c herring against the 6.aN quota.</li>
<li> Irish and Dutch vessels are not allowed to fish herring inside the UK (Scottish) 6-12
nautical mile limits, including the outlying Hebridean Islands (Appendix II). German
and French vessels have access to herring fishing between 6 and 12 nautical miles in
Scottish waters in most areas, though not the mainland limits east of the Butt of
Lewis.</li>
<li> There is an annual seasonal closure of the Butt of Lewis spawning area from the
15th August to the 15th September each year.</li>
<li> The 56oN boundary between 6.aS/7.b-c and 6.aN is not biologically meaningful.
Created in 1981, it corresponds roughly to the boundary of the Irish and UK
fishery patrol zones, or EEZs. The boundary cuts through both the summer
feeding grounds and the winter spawning grounds, and thus the fishing grounds also.</li>
<li> All targeted herring fishing is prohibited in the part of the ICES zones subject to this TAC between 56&deg N and
57&deg 30minutes N, with the exception of a six nautical mile belt measured from the baseline of the United Kingdoms
territorial sea.</li>
<li> Currently the landing obligation only applies to pelagic gears (pelagic trawls, pair trawls).</li>",There is no additional information for this stock
her.27.irls,2015,"<li> The long term management plan for Celtic Sea Herring was
agreed by the Pelagic RAC in 2011. It was evaluated by ICES
in 2012 and was found to be precautionary. It has not been
agreed by all parties; therefore, ICES advises on the basis of
the MSY approach.</li>
<li> The TAC is set on an annual basis but the assessments are
carried out on a seasonal basis (1st April - 31st March).</li>
<li> The TAC in 2015 is 15,652 t, with an Irish quota of 13,527 t.</li>
<li> In 2015, up to 25% unused quota was allowed to be carried
over from 2014. This was in response to the closure of the Russian market to EC fish products which
negatively impacted the price of Irish herring. This carryover amounted to 4,223 t in 2015. ICES assumed
that this will be caught in 2015. This assumption is included in the revised forecast provided in September
2015 and leads to a lower TAC in 2016 than was advised in June.</li>
<li> The Irish quota accounts for 86.4% of the total TAC.</li>
<li> The closure of Spawning Box C (Division VIIaS), to protect first time spawners was instituted by Irish
statute in 2008. This fishery is confined to vessels of no more than 50 feet length. A maximum catch
limitation of 11% of the Irish quota is exclusively allocated to this sentinel fishery.</li>
<li> In 2015/2016, spawning box B will be closed as part of the triennial box closures that are enshrined in EC
legislation.</li>
<li> The UK, Netherlands, France and Germany are allowed to fish for herring to varying extents in the Irish
territorial limits from 6-12 nm. However in recent years they have not availed of this right.</li>",There is no additional information for this stock
her.27.irls,2016,"<li> The long term management plan for Celtic Sea Herring was
agreed by the Pelagic RAC in 2011 and has been the basis for
TAC setting ever since. It was evaluated by ICES in 2012 and
was found to be precautionary. It has not been agreed by all
parties; therefore, ICES advises on the basis of the MSY
approach.</li>
<li> The TAC is set on an annual basis but the assessments are
carried out on a seasonal basis (1st April - 31st March).</li>
<li> The Irish quota accounts for 86.4% of the total TAC.</li>
<li> The closure of Spawning Box C (Division 7.aS), to protect first time spawners was instituted by Irish statute
in 2008. This fishery is confined to vessels of no more than 50 feet in length. A maximum catch limitation of
11% of the Irish quota is exclusively allocated to this sentinel fishery.</li>
<li> In 2016/2017, spawning box B will be closed as part of the triennial box closures that are enshrined in EC
legislation (see Appendix III).</li>
<li> The UK, Netherlands, France and Germany are allowed to fish for herring to varying extents in the Irish
territorial limits from 6-12 nm. However in recent years they have not availed of this right.</li>
<li> The Irish quota is allocated to individual vessels on a weekly basis in two pools, one for the main fishery and
one for the small boat fishery in Sub Division 7.aS.</li>","<li> Juveniles of this stock are present in the Irish Sea. Management of the Irish Sea herring fishery should ensure
that catches of Celtic Sea juveniles are avoided.</li>"
her.27.irls,2017,"<li> The long term management plan for Celtic Sea Herring was agreed
by the Pelagic RAC in 2011 and has been the basis for TAC setting
ever since. It was evaluated by ICES in 2012 and was found to be
precautionary. It has not been agreed by all parties; therefore,
ICES advises on the basis of the MSY approach. FEAS notes an
ambiguity in the management plan. The plan specifies that
recruitment impairment [B<sub>lim</sub>] occurs at Bchangepoint; SSB = 41,000 t.
However the latest value of B<sub>lim</sub> is 33,000 t. ICES and FEAS
consider this revised value of B<sub>lim</sub> as being most appropriate in
interpreting the plan.</li>
<li> The TAC is set on an annual basis but the assessments are carried out
on a seasonal basis (1st April - 31st March).</li>
<li> The closure of Spawning Box C (Division 7.aS), to protect first time spawners was instituted by Irish statute
in 2008. This fishery is confined to vessels of no more than 50 feet in length. A maximum catch limitation of
11% of the Irish quota is exclusively allocated to this sentinel fishery (see Appendix III).</li>
<li> In 2017/2018, Spawning Box C (see Appendix III) will be closed as part of the triennial box closures that are
enshrined in EC legislation.</li>
<li> The UK, Netherlands, France and Germany are allowed to fish for herring to varying extents in the Irish
territorial limits from 6-12 nm. However in recent years they have not availed of this right.</li>
<li> The Irish quota is allocated to individual vessels on a weekly basis in two pools, one for the main fishery and
one for the small boat fishery in Sub-division 7.aS.</li>
<li> Currently the landing obligation only applies to pelagic gears (pelagic otter trawls, pair trawls).</li>","<li> Juveniles and adults of this stock are present in the Irish Sea. Management of the Irish Sea herring fishery
should ensure that catches of Celtic Sea fish in the Irish Sea are avoided.</li>"
her.27.nirs,2015,"<li> The TAC for this stock is set by EU and was 4,854 t for 2015. The Irish
share of the TAC was 1,264 t (26%).</li>
<li> There are two closed areas in operation to protect the spawning stock
during part of the spawning season and to prevent exploitation of
juveniles. These measures were introduced during the period of the
industrial fishery in the Irish Sea (1969 - 1979). The area off Counties
Louth and Down is closed from the 21st September - 31st December
and the Douglas Bank area, east of the Isle of Man is closed from 21st
September until 15th November.</li>
<li> Vessels of less than 40 feet in length may fish within the Down-Louth seasonal closed box, but only using
driftnets of mesh size ? 54 mm.</li>
<li> Republic of Ireland vessels are not permitted to fish herring in any part of the 0-12 mile limits off England,
Wales, Scotland or the Isle of Man. This was established under the terms of the London Fisheries Agreement,
1964.</li>
<li> Republic of Ireland vessels are permitted to fish within the territorial limits of Northern Ireland under the ''Voisinage'' understanding. The ''Voisinage'' understanding provides a mechanism for reciprocal access to
territorial limits by vessels from each jurisdiction within Ireland.</li>",There is no additional information for this stock
her.27.nirs,2016,"<li> The stock and management units are both ICES Division 7.a
North.</li>
<li> There are two closed areas in operation to protect the
spawning stock during part of the spawning season and to
prevent exploitation of juveniles. These measures were
introduced during the period of the industrial fishery in the
Irish Sea (1969 - 1979). The area off Counties Louth and
Down is closed from the 21st September - 31st December
and the Douglas Bank area, east of the Isle of Man is closed
from 21st September until 15th November.</li>
<li> Vessels of less than 40 feet in length may fish within the Down-Louth seasonal closed box, but only using
driftnets of mesh size ? 54 mm.</li>
<li> Republic of Ireland vessels are not permitted to fish herring in any part of the 0-12 mile limits off England,
Wales, Scotland or the Isle of Man. This was established under the terms of the London Fisheries Agreement,
1964.</li>
<li> Republic of Ireland vessels are permitted to fish within the territorial limits of Northern Ireland under
Voisinage. This understanding provides a mechanism for reciprocal access to territorial limits by vessels from
each jurisdiction within Ireland.</li>","<li> The assessment is performed on a mixed stock (including juveniles from the Celtic Sea), which effects the
estimates of younger ages.</li>
<li> Management of the Irish Sea herring fishery should ensure that catches of Celtic Sea juveniles are avoided.</li>"
her.27.nirs,2017,"<li> The stock and management units are both ICES Division 7.a N.</li>
<li> There are two closed areas in operation to protect the spawning
stock during part of the spawning season and to prevent
exploitation of juveniles. These measures were introduced during
the period of the industrial fishery in the Irish Sea (1969 - 1979).
The area off County Louth and County Down is closed from the
21st September - 31st December and the Douglas Bank area, east
of the Isle of Man is closed from 21st September until 15th
November (Appendix II).</li>
<li> Vessels of less than 40 feet in length may fish within the Down-
Louth seasonal closed box, but only using driftnets of mesh size \u2265 54 mm.</li>
<li> Republic of Ireland vessels are not permitted to fish herring in any part of the 0-12 nautical mile limits off
England, Wales, Scotland or east of the Isle of Man. Irish vessels are permitted to fish in waters between 6-12
nautical miles, west of the Isle of Man.</li>
<li> Currently the landing obligation only applies to pelagic gears (pelagic otter trawls, pair trawls).</li>","<li> The assessment does not consider the degree of mixing of Celtic Sea and Irish Sea herring in the Irish Sea.</li>
<li> Management of the Irish Sea herring fishery should take into account mixing of Celtic Sea and Irish Sea herring
in the Irish Sea.</li>"
hke.27.3a46-8abd,2015,"<li> The Northern hake was managed for several years by
means of a recovery plan in 2004 (EC 811/2004). The
stock has recovered and a new stock assessment
methodology is in place so there is a need to develop a new multiannual
plan with new reference points and targets for this stock.</li>
<li> The current assessment area covers IIIa, IV, VI, VII and VIIIa,b,d. This
overlaps with four TAC areas (see Table above). Ireland only has a
quota for the TAC area VIb, VI, VII, XII, XIV. In 2015 the TAC in
this area was 50,944 t with an associated Irish quota of 2,810 t</li>
<li> The combined TAC has been overshot considerably in recent years.</li>",There is no additional information for this stock
hke.27.3a46-8abd,2016,"<li> The assessment area overlaps with four TAC areas but Ireland
only has quota for the 6, 7, 5.b, 12 and 14 TAC area.</li>
<li> About two thirds of the landings in the TAC area are taken
in Irish waters; however Ireland only has a 6% TAC share.</li>
<li> Some fleets fishing this stock are under the EU landing
obligation since 2016.</li>
<li> The minimum conservation reference size is 27cm (which is
the same as the historic minimum landing size).</li>","<li> The Irish landings of hake are mainly taken in mixed fisheries and are mainly landed with anglerfish, megrim,
haddock and other gadoid species. However, 20% of the landings come from trips where hake was the
dominant species.</li>
<li> The stock size has increased dramatically since 2008 and is now well above MSY B<sub>TRIGGER</sub>, while fishing mortality
has decreased and is now below F<sub>MSY</sub>.</li>
<li> The assessment model is very sensitive to the settings used and suffers from a strong retrospective bias.</li>"
hke.27.3a46-8abd,2017,"<li> The assessment area overlaps with four TAC areas but Ireland
only has quota for the 6, 7, 5.b, 12 and 14 TAC area. Several
inter-area flexibilities are allowed within the overall all TAC of
11,9765 t.</li>
<li> About two thirds of the landings in the TAC area are taken in
Irish waters; however Ireland only has a 6% TAC share.</li>
<li> For trawls and seines where the total landings per vessel of all
species in 2015 and 2016 consist of more than 10% of hake, the
landing obligation shall apply to hake in 2018 (see Appendix VI).</li>
<li> For gill nets and long lines all catches of hake shall be subject to
the landing obligation in 2018.</li>","<li> The Irish landings of hake are mainly taken in mixed fisheries and are mainly landed with anglerfish, megrim,
haddock and other gadoid species. However, 20% of the landings come from trips where hake was the
dominant species.</li>
<li> The stock size has increased dramatically since 2008 and is now well above MSY B<sub>trigger</sub>, while fishing mortality
has decreased and is now below F<sub>MSY</sub>.</li>"
hom.27.2a4a5b6a7a-ce-k8,2015,"<li> The TAC only applies to EU waters. There are fisheries
outside the TAC areas that are not limited by the TAC.</li>
<li> Since 2005, when it was determined that catches from
Division VIIIc were from the western stock, the ICES
advice for the western stock has included Division VIIIc.
The EU however continues to set a separate TAC for VIIIc.</li>
<li> The sum of the agreed TAC's for 2015 in Sub-areas VI, and
Divisions IIa, IVa, VIIa-c, VIIe-k and VIII was 99,304 t, of
which the Irish quota was 21,621 t.</li>
<li> The TAC's proposed by the commission only cover EU
waters whereas the ICES advice covers all waters where
the stock is fished.</li>",There is no additional information for this stock
